Created On,Topic,Owner,Potential Customer,Status,Status Reason,Est. revenue,Est. close date,Actual Revenue,Actual Close date,Probability,Rating,Sales Stage,Forecast category,Customer Need,Proposed Solution,Source Campaign,Purchase Process,Purchase Timeframe,Currency,Contact,Price List,Revenue
03/31/22,Tailspin Toys | Crema Quatro,Sebastian Wright,The Phone Company,Lost,Canceled,5500,06/05/22,0,06/05/22,30,Cold,Close,,CONSUMER ESPRESSO,Crema Quatro,Coffee Trade Fair,Unknown,This Quarter,US Dollar,Carlene Avery,Contoso Coffee Price List,User Provided
08/15/23,Tailspin Toys | Stainless Steel Tamper,Sebastian Wright,The Phone Company,Lost,Canceled,1250,10/15/23,0,10/15/23,30,Cold,Close,,DRINKWARE,Stainless Steel Tamper,Sustainable Coffee Newsletter,Unknown,This Quarter,US Dollar,Carlene Avery,Contoso Coffee Price List,User Provided
08/21/21,Tailspin Toys | Storage Canister,Sebastian Wright,The Phone Company,Lost,Canceled,650,11/20/21,0,11/20/21,45,Cold,Qualify,,DRINKWARE,Storage Canister,,Individual,Next Quarter,US Dollar,Carlene Avery,Contoso Coffee Price List,User Provided
03/16/25,Alpine Ski House | Caf̩ A-100 Automatic,Sebastian Wright,The Phone Company,Open,In Progress,162200,09/04/25,0,,0,Cold,Develop,,COMMERCIAL ESPRESSO,Caf̩ A-100 Automatic,Coffee Trade Fair,Unknown,Immediate,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
02/24/24,Alpine Ski House | 2-Year Espresso Blend Subscription,Sebastian Wright,The Phone Company,Won,Won,73300,05/17/24,73300,05/17/24,90,Hot,Close,,SUBSCRIPTION-CM,2-Year Espresso Blend Subscription,,Individual,Immediate,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
03/18/24,The Phone Company | AutoDrip,Sebastian Wright,Trey Research,Lost,Canceled,2250,06/18/24,0,06/18/24,40,Cold,Close,Lost,CONSUMER COFFEE MAKERS,AutoDrip,Coffee Machine Excellence,Individual,Next Quarter,US Dollar,Neel Marke,Contoso Coffee Price List,User Provided
06/23/22,Humongous Insurance | 6-Month Fair Trade Coffee Subscription,Sebastian Wright,Trey Research,Lost,Out-Sold,22350,07/25/22,0,07/25/22,60,Warm,Close,,SUBSCRIPTION-CM,6-Month Fair Trade Coffee Subscription,Barista Monthly Digest,Unknown,Immediate,US Dollar,Naoki Sato,Contoso Coffee Price List,User Provided
11/10/21,Nod Publishers | Stainless Steel Tamper,Sebastian Wright,Trey Research,Lost,Out-Sold,950,11/21/21,0,11/21/21,55,Warm,Close,,DRINKWARE,Stainless Steel Tamper,Loyalty Customer Promotion,Unknown,Immediate,US Dollar,Carly Kurusarttra,Contoso Coffee Price List,User Provided
02/22/22,The Phone Company | Caf̩ PG-1,Sebastian Wright,Trey Research,Lost,Canceled,62400,06/24/22,0,06/24/22,15,Cold,Develop,,COMMERCIAL COFFEE GRINDERS,Caf̩ PG-1,Customer Follow-up,Unknown,This Quarter,US Dollar,Neel Marke,Contoso Coffee Price List,User Provided
02/11/25,First Up Consultants | Caf̩ BG-1 Pro,Sebastian Wright,Trey Research,Open,In Progress,134150,09/23/25,0,,0,Cold,Develop,,COMMERCIAL COFFEE GRINDERS,Caf̩ BG-1 Pro,,Individual,Next Quarter,US Dollar,Armin Woodward,Contoso Coffee Price List,User Provided
12/01/24,Lamna Healthcare Company | Caf̩ A-100 Automatic,Sebastian Wright,Trey Research,Open,In Progress,215800,07/15/25,0,,10,Cold,Qualify,,COMMERCIAL ESPRESSO,Caf̩ A-100 Automatic,,Individual,Immediate,US Dollar,Tracy Harding,Contoso Coffee Price List,User Provided
12/22/24,Contoso Suites | Caf̩ Duo,Sebastian Wright,Trey Research,Open,In Progress,145250,08/14/25,0,,0,Cold,Propose,,COMMERCIAL ESPRESSO,Caf̩ Duo,Intelligent Coffee Machine Showcase,Unknown,Next Quarter,US Dollar,Lucy Lambert,Contoso Coffee Price List,User Provided
02/27/23,Trey Research | Airpot XL,Sebastian Wright,Trey Research,Lost,Canceled,1400,03/10/23,0,03/10/23,50,Cold,Close,,COMMERCIAL COFFEE MAKERS,Airpot XL,Customer Care Campaign,Unknown,Immediate,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
12/09/23,VanArsdel Ltd. | Airpot Lite,Sebastian Wright,Trey Research,Won,Won,4000,12/23/23,4000,12/23/23,75,Warm,Close,,COMMERCIAL COFFEE MAKERS,Airpot Lite,,Individual,Immediate,US Dollar,Roland Hofmann,Contoso Coffee Price List,User Provided
05/16/23,Humongous Insurance | Barista Express,Sebastian Wright,Trey Research,Won,Won,115650,09/19/23,115650,09/19/23,65,Warm,Close,,COMMERCIAL ESPRESSO,Barista Express,Loyalty Customer Promotion,Committee,Immediate,US Dollar,Naoki Sato,Contoso Coffee Price List,User Provided
04/15/23,Trey Research | Caf̩ Corto,Sebastian Wright,Trey Research,Lost,Canceled,29500,07/14/23,0,07/14/23,30,Cold,Develop,,COMMERCIAL ESPRESSO,Caf̩ Corto,Coffee Innovation Webinar,Unknown,This Quarter,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
07/12/21,Trey Research | Caf̩ Corto,Sebastian Wright,Trey Research,Lost,Canceled,141100,01/29/22,0,01/29/22,30,Cold,Develop,,COMMERCIAL ESPRESSO,Caf̩ Corto,Customer Care Campaign,Unknown,This Quarter,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
01/19/22,Trey Research | Caf̩ BG-1,Sebastian Wright,Trey Research,Won,Won,26400,05/15/22,26400,05/15/22,75,Warm,Close,,COMMERCIAL COFFEE GRINDERS,Caf̩ BG-1,Coffee Machine Excellence,Individual,Next Quarter,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
06/20/21,Fabrikam Inc. | Frothing Pitcher,Sebastian Wright,Trey Research,Won,Won,250,06/30/21,250,06/30/21,95,Hot,Close,,DRINKWARE,Frothing Pitcher,Coffee Machine Excellence,Individual,Immediate,US Dollar,Eva Corets,Contoso Coffee Price List,User Provided
04/29/24,Trey Research | Caf̩ Duo,Sebastian Wright,Trey Research,Lost,Canceled,34150,08/01/24,0,08/01/24,30,Cold,Develop,Lost,COMMERCIAL ESPRESSO,Caf̩ Duo,Loyalty Customer Promotion,Unknown,This Quarter,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
09/25/21,Best For You Organics Company | Descaling Solution,Sebastian Wright,Trey Research,Won,Won,350,10/05/21,350,10/05/21,80,Hot,Close,,SERVICES,Descaling Solution,,Individual,Immediate,US Dollar,Logan Patterson,Contoso Coffee Price List,User Provided
04/26/22,Trey Research | Caf̩ PG-1,Sebastian Wright,Trey Research,Lost,Canceled,16900,07/12/22,0,07/12/22,25,Cold,Develop,,COMMERCIAL COFFEE GRINDERS,Caf̩ PG-1,Loyalty Customer Promotion,Unknown,This Quarter,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
04/25/24,Trey Research | Caf̩ PG-1 Pro,Sebastian Wright,Trey Research,Lost,Canceled,65200,09/27/24,0,09/27/24,10,Cold,Develop,Lost,COMMERCIAL COFFEE GRINDERS,Caf̩ PG-1 Pro,Barista Monthly Digest,Unknown,Next Quarter,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
04/07/23,Trey Research | Caf̩ PG-1 Pro,Sebastian Wright,Trey Research,Lost,Canceled,67300,08/12/23,0,08/12/23,50,Cold,Develop,,COMMERCIAL COFFEE GRINDERS,Caf̩ PG-1 Pro,Loyalty Customer Promotion,Committee,This Quarter,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
05/30/21,Trey Research | Capacity IoT sensor,Sebastian Wright,Trey Research,Lost,Canceled,1450,08/29/21,0,08/29/21,45,Cold,Close,,SERVICES,Capacity IoT sensor,,Individual,Next Quarter,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
07/29/23,Lucerne Publishing | Water line,Sebastian Wright,Trey Research,Won,Won,150,09/27/23,150,09/27/23,75,Warm,Close,,SERVICES,Water line,,Individual,This Quarter,US Dollar,Freida Farley,Contoso Coffee Price List,User Provided
01/28/25,Northwind Traders | Caf̩ A-100 Automatic,Sebastian Wright,Trey Research,Open,In Progress,182350,08/08/25,0,,5,Cold,Qualify,,COMMERCIAL ESPRESSO,Caf̩ A-100 Automatic,Perfect Brew Coffee  Webinar,Unknown,Immediate,US Dollar,Heriberto Nathan,Contoso Coffee Price List,User Provided
09/25/23,School of Fine Art | Cleaning Kit,Sebastian Wright,Trey Research,Won,Won,150,11/24/23,150,11/24/23,65,Warm,Close,,DRINKWARE,Cleaning Kit,,Individual,This Quarter,US Dollar,Rory Flowers,Contoso Coffee Price List,User Provided
12/04/23,Lamna Healthcare Company | Smart Grind Home,Sebastian Wright,Trey Research,Won,Won,1650,12/16/23,1650,12/16/23,85,Hot,Close,,CONSUMER COFFEE GRINDERS,Smart Grind Home,,Individual,Immediate,US Dollar,Tracy Harding,Contoso Coffee Price List,User Provided
12/28/24,Trey Research | Smart Grind Travel,Sebastian Wright,Trey Research,Won,Won,6250,01/13/25,6250,01/13/25,65,Warm,Close,,CONSUMER COFFEE GRINDERS,Smart Grind Travel,New Product Release,Unknown,Immediate,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
01/05/25,School of Fine Art | 1-Year Espresso Blend Coffee Subscription,Sebastian Wright,Trey Research,Open,In Progress,13550,04/19/25,0,,85,Hot,Develop,,SUBSCRIPTION-CM,1-Year Espresso Blend Coffee Subscription,,Individual,Next Quarter,US Dollar,Rory Flowers,Contoso Coffee Price List,User Provided
12/17/22,Trey Research | 6-Month Fair Trade Coffee Subscription,Sebastian Wright,Trey Research,Won,Won,10850,01/07/23,10850,01/07/23,70,Warm,Close,,SUBSCRIPTION-CM,6-Month Fair Trade Coffee Subscription,New Product Release,Unknown,Immediate,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
04/19/23,Trey Research | Diner Mug,Sebastian Wright,Trey Research,Lost,Canceled,450,07/18/23,0,07/18/23,15,Cold,Qualify,,DRINKWARE,Diner Mug,Intelligent Coffee Machine Showcase,Unknown,Next Quarter,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
12/04/23,Margie's Travel | Crema Caf̩,Sebastian Wright,Trey Research,Won,Won,18300,01/01/24,18300,01/01/24,60,Warm,Close,,CONSUMER ESPRESSO,Crema Caf̩,Loyalty Customer Promotion,Committee,Immediate,US Dollar,Jan Stevens,Contoso Coffee Price List,User Provided
11/28/24,Trey Research | Drink Spoon,Sebastian Wright,Trey Research,Lost,Canceled,50,01/27/25,0,01/27/25,30,Cold,Qualify,,DRINKWARE,Drink Spoon,Customer Care Campaign,Unknown,This Quarter,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
01/16/25,Nod Publishers | Caf̩ Corto,Sebastian Wright,Trey Research,Open,In Progress,70650,04/07/25,0,,100,Hot,Propose,,COMMERCIAL ESPRESSO,Caf̩ Corto,,Individual,Immediate,US Dollar,Carly Kurusarttra,Contoso Coffee Price List,User Provided
04/19/24,Trey Research | Frothing Pitcher,Sebastian Wright,Trey Research,Lost,Canceled,50,06/18/24,0,06/18/24,30,Cold,Qualify,,DRINKWARE,Frothing Pitcher,Coffee Trade Fair,Unknown,This Quarter,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
09/02/22,Trey Research | Smart Grind Travel,Sebastian Wright,Trey Research,Lost,Canceled,3300,12/04/22,0,12/04/22,25,Cold,Close,,CONSUMER COFFEE GRINDERS,Smart Grind Travel,Loyalty Customer Promotion,Committee,Next Quarter,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
12/24/21,Southridge Video | Smart Grind Home,Sebastian Wright,Trey Research,Won,Won,5100,02/27/22,5100,02/27/22,75,Warm,Close,,CONSUMER COFFEE GRINDERS,Smart Grind Home,Coffee Machine Excellence,Individual,This Quarter,US Dollar,Conrad Fenwick,Contoso Coffee Price List,User Provided
04/29/23,Trey Research | 1-Year Fair Trade Coffee Subscription,Sebastian Wright,Trey Research,Won,Won,26100,07/24/23,26100,07/24/23,85,Hot,Close,,SUBSCRIPTION-CM,1-Year Fair Trade Coffee Subscription,,Individual,This Quarter,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
01/18/22,Nod Publishers | Travel Brew 100,Sebastian Wright,Trey Research,Lost,Out-Sold,3900,02/01/22,0,02/01/22,60,Warm,Close,,CONSUMER COFFEE MAKERS,Travel Brew 100,Loyalty Customer Promotion,Unknown,Immediate,US Dollar,Carly Kurusarttra,Contoso Coffee Price List,User Provided
09/21/22,VanArsdel Ltd. | 2-Year Organic Office Coffee Subscription,Sebastian Wright,Trey Research,Lost,Canceled,46800,01/06/23,0,01/06/23,45,Cold,Develop,,SUBSCRIPTION-CM,2-Year Organic Office Coffee Subscription,Loyalty Customer Promotion,Committee,This Quarter,US Dollar,Roland Hofmann,Contoso Coffee Price List,User Provided
01/23/24,VanArsdel Ltd. | Airpot Duo,Sebastian Wright,VanArsdel Ltd.,Lost,Canceled,3650,03/27/24,0,03/27/24,20,Cold,Close,,COMMERCIAL COFFEE MAKERS,Airpot Duo,Loyalty Customer Promotion,Unknown,This Quarter,US Dollar,Roland Hofmann,Contoso Coffee Price List,User Provided
03/19/23,Contoso Ltd. | Smart Grind Home,Sebastian Wright,VanArsdel Ltd.,Won,Won,2100,03/31/23,2100,03/31/23,85,Hot,Close,,CONSUMER COFFEE GRINDERS,Smart Grind Home,,Individual,Immediate,US Dollar,Daisy Pope,Contoso Coffee Price List,User Provided
04/13/22,VanArsdel Ltd. | Airpot XL,Sebastian Wright,VanArsdel Ltd.,Lost,Canceled,1600,04/25/22,0,04/25/22,30,Cold,Close,,COMMERCIAL COFFEE MAKERS,Airpot XL,Loyalty Customer Promotion,Unknown,Immediate,US Dollar,Roland Hofmann,Contoso Coffee Price List,User Provided
06/18/23,Contoso Suites | Caf̩ Corto,Sebastian Wright,VanArsdel Ltd.,Lost,Out-Sold,111250,10/17/23,0,10/17/23,60,Warm,Close,,COMMERCIAL ESPRESSO,Caf̩ Corto,Loyalty Customer Promotion,Committee,Immediate,US Dollar,Lucy Lambert,Contoso Coffee Price List,User Provided
04/16/22,Trey Research | Travel Brew 100,Sebastian Wright,VanArsdel Ltd.,Lost,Out-Sold,1200,07/16/22,0,07/16/22,60,Warm,Close,,CONSUMER COFFEE MAKERS,Travel Brew 100,Coffee Machine Excellence,Individual,Next Quarter,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
06/12/24,Northwind Traders | Stainless Steel Tamper,Sebastian Wright,VanArsdel Ltd.,Won,Won,450,06/22/24,450,06/22/24,85,Hot,Close,,DRINKWARE,Stainless Steel Tamper,,Individual,Immediate,US Dollar,Heriberto Nathan,Contoso Coffee Price List,User Provided
05/02/21,VanArsdel Ltd. | Crema Caf̩,Sebastian Wright,VanArsdel Ltd.,Lost,Canceled,4700,07/06/21,0,07/06/21,25,Cold,Close,Lost,CONSUMER ESPRESSO,Crema Caf̩,Intelligent Coffee Machine Showcase,Unknown,This Quarter,US Dollar,Roland Hofmann,Contoso Coffee Price List,User Provided
10/30/21,Humongous Insurance | Airpot Duo,Sebastian Wright,VanArsdel Ltd.,Won,Won,1850,11/11/21,1850,11/11/21,85,Hot,Close,,COMMERCIAL COFFEE MAKERS,Airpot Duo,,Individual,Immediate,US Dollar,Naoki Sato,Contoso Coffee Price List,User Provided
09/03/24,VanArsdel Ltd. | Drink Spoon,Sebastian Wright,VanArsdel Ltd.,Lost,Canceled,250,09/13/24,0,09/13/24,35,Cold,Qualify,,DRINKWARE,Drink Spoon,Loyalty Customer Promotion,Unknown,Immediate,US Dollar,Roland Hofmann,Contoso Coffee Price List,User Provided
04/18/22,Proseware Inc. | Caf̩ Grande,Sebastian Wright,VanArsdel Ltd.,Lost,Out-Sold,227450,01/30/23,0,01/30/23,55,Warm,Close,,COMMERCIAL ESPRESSO,Caf̩ Grande,Loyalty Customer Promotion,Committee,This Quarter,US Dollar,Petr Kar,Contoso Coffee Price List,User Provided
12/08/24,VanArsdel Ltd. | Water line,Sebastian Wright,VanArsdel Ltd.,Lost,Canceled,250,12/18/24,0,12/18/24,30,Cold,Qualify,Lost,SERVICES,Water line,Coffee Trade Fair,Unknown,Immediate,US Dollar,Roland Hofmann,Contoso Coffee Price List,User Provided
08/29/23,First Up Consultants | Airpot XL,Sebastian Wright,VanArsdel Ltd.,Won,Won,4450,09/12/23,4450,09/12/23,85,Hot,Close,,COMMERCIAL COFFEE MAKERS,Airpot XL,,Individual,Immediate,US Dollar,Armin Woodward,Contoso Coffee Price List,User Provided
09/17/21,Northwind Traders | Caf̩ A-200 Automatic,Sebastian Wright,VanArsdel Ltd.,Won,Won,240950,05/26/22,240950,05/26/22,80,Hot,Close,,COMMERCIAL ESPRESSO,Caf̩ A-200 Automatic,,Individual,Immediate,US Dollar,Heriberto Nathan,Contoso Coffee Price List,User Provided
09/06/21,Contoso Ltd. | Storage Canister,Sebastian Wright,VanArsdel Ltd.,Won,Won,850,09/17/21,850,09/17/21,85,Hot,Close,,DRINKWARE,Storage Canister,,Individual,Immediate,US Dollar,Daisy Pope,Contoso Coffee Price List,User Provided
02/14/25,Wide World Importers | Cupping Glass,Sebastian Wright,Wide World Importers,Lost,Canceled,0,02/24/25,0,02/24/25,40,Cold,Qualify,,DRINKWARE,Cupping Glass,Sustainable Coffee Newsletter,Unknown,Immediate,US Dollar,Rodrigo Carrera,Contoso Coffee Price List,User Provided
10/03/21,Lamna Healthcare Company | Caf̩ PG-1,Sebastian Wright,Wide World Importers,Won,Won,63950,02/04/22,63950,02/04/22,65,Warm,Close,,COMMERCIAL COFFEE GRINDERS,Caf̩ PG-1,Coffee Machine Excellence,Individual,This Quarter,US Dollar,Tracy Harding,Contoso Coffee Price List,User Provided
03/14/24,Woodgrove Bank | Carafe Pro,Sebastian Wright,Wide World Importers,Won,Won,900,05/14/24,900,05/14/24,75,Warm,Close,,DRINKWARE,Carafe Pro,,Individual,This Quarter,US Dollar,Nealy Middas,Contoso Coffee Price List,User Provided
04/29/21,Northwind Traders | Barista Lite,Sebastian Wright,Wide World Importers,Won,Won,15400,05/24/21,15400,05/24/21,85,Hot,Close,,CONSUMER ESPRESSO,Barista Lite,Coffee Machine Excellence,Individual,Immediate,US Dollar,Heriberto Nathan,Contoso Coffee Price List,User Provided
02/19/24,Wide World Importers | Frothing Pitcher,Sebastian Wright,Wide World Importers,Lost,Canceled,300,02/29/24,0,02/29/24,40,Cold,Qualify,,DRINKWARE,Frothing Pitcher,Coffee Innovation Webinar,Unknown,Immediate,US Dollar,Rodrigo Carrera,Contoso Coffee Price List,User Provided
12/21/24,Wide World Importers | Precision Grind Home,Sebastian Wright,Wide World Importers,Lost,Canceled,5100,03/26/25,0,03/26/25,40,Cold,Propose,,CONSUMER COFFEE GRINDERS,Precision Grind Home,,Individual,Next Quarter,US Dollar,Rodrigo Carrera,Contoso Coffee Price List,User Provided
05/18/21,Lamna Healthcare Company | Caf̩ BG-1 Pro,Sebastian Wright,Wide World Importers,Won,Won,124400,11/18/21,124400,11/18/21,60,Warm,Close,,COMMERCIAL COFFEE GRINDERS,Caf̩ BG-1 Pro,,Individual,This Quarter,US Dollar,Tracy Harding,Contoso Coffee Price List,User Provided
12/27/21,Wingtip Toys | Airpot Lite,Sebastian Wright,Wide World Importers,Lost,Canceled,1800,03/29/22,0,03/29/22,10,Cold,Close,,COMMERCIAL COFFEE MAKERS,Airpot Lite,Loyalty Customer Promotion,Unknown,Next Quarter,US Dollar,Nancy Cook,Contoso Coffee Price List,User Provided
05/01/21,Liberty's Delightful Sinful Bakery & Cafe | Caf̩ BG-1 Pro,Sebastian Wright,Wingtip Toys,Won,Won,30950,07/31/21,30950,07/31/21,65,Warm,Close,,COMMERCIAL COFFEE GRINDERS,Caf̩ BG-1 Pro,,Individual,This Quarter,US Dollar,Daisy Pope,Contoso Coffee Price List,User Provided
10/30/23,Wingtip Toys | Cupping Glass,Sebastian Wright,Wingtip Toys,Lost,Canceled,0,11/09/23,0,11/09/23,50,Cold,Qualify,,DRINKWARE,Cupping Glass,Intelligent Coffee Machine Showcase,Unknown,Immediate,US Dollar,Nancy Cook,Contoso Coffee Price List,User Provided
06/28/21,First Up Consultants | Caf̩ BG-1,Sebastian Wright,Wingtip Toys,Won,Won,44900,08/22/21,44900,08/22/21,90,Hot,Close,,COMMERCIAL COFFEE GRINDERS,Caf̩ BG-1,Loyalty Customer Promotion,Committee,Immediate,US Dollar,Armin Woodward,Contoso Coffee Price List,User Provided
04/23/21,Margie's Travel | Crema Quatro,Sebastian Wright,Wingtip Toys,Won,Won,24950,07/17/21,24950,07/17/21,70,Warm,Close,,CONSUMER ESPRESSO,Crema Quatro,Coffee Machine Excellence,Individual,This Quarter,US Dollar,Jan Stevens,Contoso Coffee Price List,User Provided
02/18/23,Woodgrove Bank | Airpot,Sebastian Wright,Wingtip Toys,Lost,Canceled,5150,05/24/23,0,05/24/23,15,Cold,Close,,COMMERCIAL COFFEE MAKERS,Airpot,Loyalty Customer Promotion,Committee,Next Quarter,US Dollar,Nealy Middas,Contoso Coffee Price List,User Provided
04/07/22,Woodgrove Bank | Airpot XL,Sebastian Wright,Wingtip Toys,Lost,Canceled,2300,07/08/22,0,07/08/22,15,Cold,Close,,COMMERCIAL COFFEE MAKERS,Airpot XL,Loyalty Customer Promotion,Committee,Next Quarter,US Dollar,Nealy Middas,Contoso Coffee Price List,User Provided
02/25/23,Fabrikam Inc. | Airpot XL,Sebastian Wright,Woodgrove Bank,Won,Won,1700,03/09/23,1700,03/09/23,85,Hot,Close,,COMMERCIAL COFFEE MAKERS,Airpot XL,,Individual,Immediate,US Dollar,Eva Corets,Contoso Coffee Price List,User Provided
12/11/24,Fabrikam Inc. | Airpot Lite,Sebastian Wright,Woodgrove Bank,Won,Won,2550,12/24/24,2550,12/24/24,65,Warm,Close,,COMMERCIAL COFFEE MAKERS,Airpot Lite,Loyalty Customer Promotion,Committee,Immediate,US Dollar,Eva Corets,Contoso Coffee Price List,User Provided
05/08/21,Margie's Travel | Crema Caf̩ XL,Sebastian Wright,Woodgrove Bank,Won,Won,29450,06/16/21,29450,06/16/21,85,Hot,Close,,CONSUMER ESPRESSO,Crema Caf̩ XL,,Individual,Immediate,US Dollar,Jan Stevens,Contoso Coffee Price List,User Provided
02/16/22,Woodgrove Bank | CP Latte Cup with Saucer,Sebastian Wright,Woodgrove Bank,Lost,Canceled,150,05/17/22,0,05/17/22,15,Cold,Qualify,Lost,DRINKWARE,CP Latte Cup with Saucer,Perfect Brew Coffee  Webinar,Unknown,Next Quarter,US Dollar,Nealy Middas,Contoso Coffee Price List,User Provided
09/29/21,Woodgrove Bank | Diner Mug,Sebastian Wright,Woodgrove Bank,Lost,Canceled,300,11/28/21,0,11/28/21,30,Cold,Qualify,,DRINKWARE,Diner Mug,Barista Monthly Digest,Unknown,This Quarter,US Dollar,Nealy Middas,Contoso Coffee Price List,User Provided
01/29/23,Munson's Pickles and Preserves Farm | Brew Filters,Sebastian Wright,Woodgrove Bank,Won,Won,300,02/08/23,300,02/08/23,90,Hot,Close,,DRINKWARE,Brew Filters,,Individual,Immediate,US Dollar,Sue Vance,Contoso Coffee Price List,User Provided
04/17/23,Fabrikam Inc. | Smart Grind Home,Sebastian Wright,Woodgrove Bank,Won,Won,2850,04/30/23,2850,04/30/23,95,Hot,Close,,CONSUMER COFFEE GRINDERS,Smart Grind Home,,Individual,Immediate,US Dollar,Eva Corets,Contoso Coffee Price List,User Provided
08/22/24,Woodgrove Bank | Precision Grind Travel,Sebastian Wright,Woodgrove Bank,Lost,Canceled,700,10/22/24,0,10/22/24,35,Cold,Qualify,Lost,CONSUMER COFFEE GRINDERS,Precision Grind Travel,Loyalty Customer Promotion,Unknown,This Quarter,US Dollar,Nealy Middas,Contoso Coffee Price List,User Provided
09/27/21,Humongous Insurance | Caf̩ A-100 Automatic,Sebastian Wright,Woodgrove Bank,Won,Won,239300,06/03/22,239300,06/03/22,90,Hot,Close,,COMMERCIAL ESPRESSO,Caf̩ A-100 Automatic,Coffee Machine Excellence,Individual,Immediate,US Dollar,Naoki Sato,Contoso Coffee Price List,User Provided
01/18/25,Woodgrove Bank | Stainless Steel Tamper,Sebastian Wright,Woodgrove Bank,Lost,Canceled,500,03/20/25,0,03/20/25,30,Cold,Qualify,,DRINKWARE,Stainless Steel Tamper,Loyalty Customer Promotion,Unknown,This Quarter,US Dollar,Nealy Middas,Contoso Coffee Price List,User Provided
11/08/23,Margie's Travel | CP Latte Cup with Saucer,Sebastian Wright,Woodgrove Bank,Won,Won,200,11/18/23,200,11/18/23,85,Hot,Close,,DRINKWARE,CP Latte Cup with Saucer,Coffee Machine Excellence,Individual,Immediate,US Dollar,Jan Stevens,Contoso Coffee Price List,User Provided
04/24/24,Woodgrove Bank | Stainless Steel Tamper,Sebastian Wright,Woodgrove Bank,Lost,Canceled,600,06/24/24,0,06/24/24,45,Cold,Qualify,Lost,DRINKWARE,Stainless Steel Tamper,New Product Release,Unknown,This Quarter,US Dollar,Nealy Middas,Contoso Coffee Price List,User Provided
09/16/21,Woodgrove Bank | Stainless Steel Tamper,Sebastian Wright,Woodgrove Bank,Lost,Canceled,1100,09/27/21,0,09/27/21,50,Cold,Close,,DRINKWARE,Stainless Steel Tamper,Coffee Innovation Webinar,Unknown,Immediate,US Dollar,Nealy Middas,Contoso Coffee Price List,User Provided
06/16/22,Woodgrove Bank | Travel Mug XL,Sebastian Wright,Woodgrove Bank,Lost,Canceled,450,09/14/22,0,09/14/22,15,Cold,Qualify,,DRINKWARE,Travel Mug XL,New Product Release,Unknown,Next Quarter,US Dollar,Nealy Middas,Contoso Coffee Price List,User Provided
03/17/24,First Up Consultants | Caf̩ A-200 Automatic,Alexander Reed,Adatum Corporation,Open,In Progress,273100,12/16/25,0,,0,Cold,Propose,Omitted,COMMERCIAL ESPRESSO,Caf̩ A-200 Automatic,Coffee Machine Excellence,Individual,Unknown,US Dollar,Armin Woodward,Contoso Coffee Price List,User Provided
10/26/21,Munson's Pickles and Preserves Farm | Smart Grind Travel,Alexander Reed,Adatum Corporation,Won,Won,6250,11/11/21,6250,11/11/21,70,Warm,Propose,Won,CONSUMER COFFEE GRINDERS,Smart Grind Travel,Loyalty Customer Promotion,Committee,Immediate,US Dollar,Sue Vance,Contoso Coffee Price List,User Provided
10/07/24,Adventure Works Cycles | 2-Year Fair Trade Coffee Subscription,Alexander Reed,Adatum Corporation,Won,Won,48800,12/05/24,48800,12/05/24,100,Hot,Close,Won,SUBSCRIPTION-CM,2-Year Fair Trade Coffee Subscription,,Individual,Immediate,US Dollar,Parsifal Troker,Contoso Coffee Price List,User Provided
05/10/21,A. Datum Corporation | 2-Year Organic Office Coffee Subscription,Alexander Reed,Adatum Corporation,Lost,Canceled,25950,09/03/21,0,09/03/21,50,Cold,Develop,,SUBSCRIPTION-CM,2-Year Organic Office Coffee Subscription,Coffee Machine Excellence,Individual,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
01/10/24,A. Datum Corporation | 6-Month Fair Trade Coffee Subscription,Alexander Reed,Adatum Corporation,Lost,Canceled,18550,03/29/24,0,03/29/24,45,Cold,Develop,Lost,SUBSCRIPTION-CM,6-Month Fair Trade Coffee Subscription,New Product Release,Unknown,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
10/01/24,Contoso Suites | Travel Brew 100,Alexander Reed,Adatum Corporation,Won,Won,2300,10/13/24,2300,10/13/24,90,Hot,Close,Won,CONSUMER COFFEE MAKERS,Travel Brew 100,,Individual,Immediate,US Dollar,Lucy Lambert,Contoso Coffee Price List,User Provided
